id,odd
144,"[(0, 0.02728889), (1, 0.23863022), (2, 0.019689407), (6, 0.14756884), (7, 0.12639949), (8, 0.43461528)]"
145,"[(0, 0.018334398), (2, 0.02021388), (3, 0.03272238), (4, 0.650329), (6, 0.16853365), (7, 0.10425043)]"
146,"[(2, 0.10490938), (4, 0.16443254), (5, 0.0536671), (6, 0.5554207), (8, 0.108383626)]"
147,"[(1, 0.03534293), (3, 0.1563047), (4, 0.15041018), (5, 0.045042653), (6, 0.18594232), (7, 0.12908866), (8, 0.24837658), (9, 0.04590912)]"
148,"[(0, 0.06107094), (4, 0.060053173), (6, 0.048882548), (7, 0.083583504), (8, 0.72419274)]"
149,"[(1, 0.11470942), (2, 0.10165104), (4, 0.19711107), (5, 0.05450636), (6, 0.15849291), (8, 0.37016878)]"
150,"[(0, 0.13904549), (1, 0.04034205), (4, 0.5540159), (6, 0.15059108), (7, 0.09804782), (8, 0.013176356)]"
151,"[(1, 0.011924839), (2, 0.1844765), (4, 0.29855704), (6, 0.3445879), (8, 0.08729737), (9, 0.06981249)]"
152,"[(2, 0.10190769), (4, 0.15623976), (5, 0.056604344), (6, 0.5513008), (8, 0.11574899)]"
153,"[(2, 0.037823845), (3, 0.022668336), (4, 0.08549021), (6, 0.7368221), (8, 0.07650944), (9, 0.03812759)]"
154,"[(4, 0.16538918), (6, 0.528329), (7, 0.04824894), (8, 0.24718758)]"
155,"[(0, 0.055273123), (3, 0.032092016), (4, 0.37272048), (6, 0.08178839), (7, 0.09746356), (8, 0.3142348), (9, 0.039051633)]"
156,"[(2, 0.9782014)]"
157,"[(0, 0.03269786), (1, 0.113936275), (2, 0.105963334), (3, 0.01892759), (4, 0.24118845), (5, 0.11777626), (6, 0.2103218), (8, 0.115928635), (9, 0.042078085)]"
158,"[(2, 0.054793324), (3, 0.36446917), (4, 0.09245789), (5, 0.08554183), (6, 0.29834762), (7, 0.01251786), (8, 0.07388226), (9, 0.017085193)]"
159,"[(2, 0.42238688), (6, 0.04405544), (7, 0.36837214), (9, 0.15401113)]"
160,"[(1, 0.04980151), (2, 0.04310393), (3, 0.049571957), (4, 0.26927987), (6, 0.31061172), (7, 0.17286043), (8, 0.10282372)]"
161,"[(1, 0.011230209), (2, 0.016629964), (3, 0.37859824), (4, 0.043251056), (5, 0.04270955), (6, 0.36251986), (7, 0.029533032), (9, 0.11224717)]"
162,"[(1, 0.051596016), (2, 0.099808246), (3, 0.062723234), (4, 0.18418305), (6, 0.19467737), (7, 0.06952973), (8, 0.33537695)]"
163,"[(1, 0.07285797), (2, 0.10725295), (4, 0.1824136), (5, 0.048938785), (6, 0.38044742), (7, 0.12907234), (8, 0.012358234), (9, 0.06502697)]"
164,"[(1, 0.48021916), (2, 0.04208228), (4, 0.20352547), (5, 0.011522019), (6, 0.058701128), (8, 0.19970629)]"
165,"[(1, 0.20537175), (2, 0.15290266), (4, 0.19150548), (5, 0.06588291), (6, 0.2273167), (8, 0.15173292)]"
166,"[(0, 0.22890298), (2, 0.08450286), (4, 0.5830738), (6, 0.063384354), (7, 0.03558263)]"
167,"[(2, 0.026815662), (3, 0.06524731), (4, 0.3202718), (5, 0.28271517), (6, 0.15983094), (7, 0.032723263), (8, 0.11023739)]"
168,"[(1, 0.029305525), (2, 0.016459484), (3, 0.112423144), (4, 0.3681501), (6, 0.08095431), (7, 0.0112361545), (8, 0.07321598), (9, 0.30682996)]"
169,"[(1, 0.23955269), (2, 0.1203843), (4, 0.19397664), (5, 0.07695403), (6, 0.30689403), (8, 0.018478408), (9, 0.041471187)]"
170,"[(1, 0.2196526), (2, 0.084765255), (4, 0.35213915), (6, 0.014611144), (7, 0.15874533), (8, 0.07676945), (9, 0.090647556)]"
171,"[(1, 0.040860616), (2, 0.093958944), (3, 0.39544505), (4, 0.18028705), (6, 0.031885076), (7, 0.032995727), (8, 0.19896726), (9, 0.02432681)]"
172,"[(2, 0.05117998), (4, 0.19698259), (5, 0.02007964), (6, 0.47798914), (7, 0.07323476), (8, 0.011483532), (9, 0.16576104)]"
173,"[(0, 0.016599098), (4, 0.21848756), (6, 0.1899252), (7, 0.029924048), (9, 0.5397895)]"
174,"[(3, 0.014487629), (4, 0.110268764), (5, 0.11212853), (6, 0.6697245), (8, 0.078955166)]"
175,"[(0, 0.11740815), (1, 0.038627654), (2, 0.09707508), (4, 0.37848938), (6, 0.28716502), (9, 0.075470306)]"
176,"[(0, 0.07369069), (4, 0.64984953), (6, 0.059377424), (8, 0.19276221), (9, 0.016596735)]"
177,"[(2, 0.027922466), (4, 0.056916602), (6, 0.038859997), (7, 0.463067), (8, 0.4090373)]"
178,"[(2, 0.017704293), (3, 0.08530693), (5, 0.1094708), (7, 0.12014079), (8, 0.5684358), (9, 0.082625955)]"
179,"[(2, 0.020384673), (3, 0.11090276), (5, 0.13253574), (7, 0.13024724), (8, 0.49786937), (9, 0.0886816)]"
180,"[(2, 0.093021266), (3, 0.118735604), (4, 0.110045165), (5, 0.15571584), (6, 0.3544361), (7, 0.02815366), (8, 0.13692696)]"
181,"[(2, 0.04890764), (4, 0.24161825), (5, 0.14986216), (6, 0.3089425), (7, 0.107798316), (9, 0.13845235)]"
182,"[(0, 0.015546539), (1, 0.012722907), (2, 0.03536892), (3, 0.038234364), (4, 0.036784533), (5, 0.2571086), (6, 0.27366686), (7, 0.081741266), (8, 0.19500276), (9, 0.053823214)]"
183,"[(3, 0.16591717), (4, 0.1914781), (6, 0.33139536), (7, 0.03518858), (9, 0.26852453)]"
184,"[(2, 0.36523324), (4, 0.059165835), (6, 0.44752502), (8, 0.08725011), (9, 0.036196243)]"
185,"[(0, 0.011696445), (1, 0.17377539), (2, 0.03829451), (3, 0.051653773), (4, 0.17510055), (6, 0.5117994), (8, 0.03369205)]"
186,"[(2, 0.1770596), (5, 0.027091261), (6, 0.30168942), (8, 0.42580825), (9, 0.056520134)]"
187,"[(0, 0.16802181), (2, 0.0732929), (6, 0.18824053), (7, 0.09595832), (8, 0.29452255), (9, 0.17245583)]"
188,"[(2, 0.2477448), (4, 0.15885708), (5, 0.03835644), (6, 0.38818398), (7, 0.043707937), (8, 0.049981397), (9, 0.06953373)]"
189,"[(2, 0.048647705), (4, 0.2165616), (6, 0.054191772), (8, 0.6747542)]"
190,"[(1, 0.017731724), (2, 0.1131356), (3, 0.016975036), (4, 0.0662237), (5, 0.22010319), (6, 0.45321155), (7, 0.010816465), (8, 0.063604824), (9, 0.037688278)]"
191,"[(2, 0.031769294), (3, 0.10119846), (4, 0.024460657), (6, 0.37257296), (7, 0.45965558)]"
192,"[(0, 0.15120855), (1, 0.04752606), (3, 0.076175824), (4, 0.3879395), (6, 0.2536837), (8, 0.06961971)]"
193,"[(0, 0.0890994), (2, 0.20227218), (4, 0.14982188), (5, 0.01893311), (6, 0.12785174), (7, 0.26482278), (8, 0.09163964), (9, 0.054780617)]"
194,"[(2, 0.2885465), (4, 0.115133144), (6, 0.5487448), (7, 0.03966267)]"
195,"[(4, 0.70724726), (5, 0.013456171), (6, 0.2681339)]"
196,"[(1, 0.05389641), (4, 0.022445478), (6, 0.089276604), (7, 0.6780294), (8, 0.12282638), (9, 0.026621807)]"
197,"[(0, 0.072308235), (2, 0.35520658), (3, 0.16262393), (4, 0.22356765), (6, 0.15142064), (8, 0.031519707)]"
198,"[(0, 0.07495366), (1, 0.09742759), (4, 0.386643), (6, 0.242741), (7, 0.055876907), (9, 0.13387978)]"
199,"[(2, 0.057265747), (3, 0.046617128), (4, 0.155295), (5, 0.031205816), (6, 0.59179705), (9, 0.10718097)]"
200,"[(1, 0.05582569), (2, 0.033918407), (4, 0.13302775), (5, 0.045853015), (6, 0.29996213), (7, 0.08855526), (8, 0.28432456), (9, 0.05497793)]"
201,"[(2, 0.29740214), (3, 0.1027523), (4, 0.10834609), (5, 0.047551844), (6, 0.319567), (7, 0.04473247), (8, 0.029174885), (9, 0.04942547)]"
202,"[(1, 0.058949802), (2, 0.160412), (4, 0.03245085), (5, 0.087515555), (6, 0.08607529), (7, 0.40816513), (8, 0.16345711)]"
203,"[(1, 0.19512145), (2, 0.107632086), (4, 0.30220592), (5, 0.023361623), (6, 0.29142004), (8, 0.03571717), (9, 0.042792328)]"
